rep,task_id,cat,draft_ms,review_ms,medium_correct,high_correct,changed,draft,final
3,20,reasoning,1543,3695,1,1,True,"To find how many full 7-day rotations fit into 28 days: $$ \frac{28}{7} = 4 $$ **Answer: 4**","**Answer: 4**"
3,21,general,576,2753,1,1,False,"204","204"
3,22,general,579,2758,1,1,False,"404","404"
3,23,general,586,2747,1,1,False,"422","422"
3,24,general,681,2850,0,0,False,"1024","1024"
3,25,general,575,2802,1,1,False,"443","443"
3,26,general,598,2779,1,1,False,"JavaScript Object Notation","JavaScript Object Notation"
3,27,general,658,2872,1,1,False,"256","256"
3,28,general,729,2883,1,1,False,"major","major"
3,29,general,710,2993,1,1,False,"127.0.0.1","127.0.0.1"
3,30,general,603,2753,1,1,False,"366","366"
