rep,task_id,draft_ms,medium_correct,shipped_correct,shipped_changed,directive_ms,directive_correct,directive_changed,draft,directive_final
1,21,894,0,0,False,5995,0,False,"Wow! Wow! Wow!","Wow! Wow! Wow!"
1,22,1106,1,1,False,6337,1,False,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
1,23,909,0,0,False,6090,0,False,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
1,24,1283,1,1,False,6515,1,False,"5 10 15","5 10 15"
2,1,1207,1,1,False,6430,1,False,"Python Java C++","Python Java C++"
2,2,1251,1,1,False,6483,1,False,"blue, green, red, yellow","blue, green, red, yellow"
2,3,1059,0,0,False,6285,0,False,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
2,4,897,1,1,False,6052,1,False,"BANANA","BANANA"
2,5,1252,1,1,False,6836,1,False,"Cheetah Cobra Crab","Cheetah Cobra Crab"
2,6,1021,1,1,False,6095,1,False,"42","42"
2,7,1541,1,1,False,7020,1,False,"Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of","Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of"
2,8,1301,1,1,False,6580,1,False,"2,4,6,8,10","2,4,6,8,10"
2,9,883,0,0,False,5896,0,False,"Golden Flame.","Golden Flame."
2,10,981,1,1,False,5981,1,False,"yes!","yes!"
2,11,1007,1,1,False,6264,1,False,"Apple Banana Cherry","Apple Banana Cherry"
2,12,1164,0,0,False,6479,0,False,"Brew a cup of coffee and savor its rich aroma.","Brew a cup of coffee and savor its rich aroma."
2,13,820,1,1,False,5845,1,False,"Cold Wind Snow","Cold Wind Snow"
2,14,1266,1,1,False,6563,1,True,"France; Germany; Italy; Spain;","Spain; France; Germany; Italy;"
2,15,1281,1,1,False,6347,1,False,"100 points","100 points"
2,16,2021,1,1,False,7066,1,False,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have"
2,17,1179,1,1,False,6343,1,False,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
2,18,799,1,1,False,5714,1,False,"down","down"
2,19,982,1,1,False,6057,1,False,"Python and Java","Python and Java"
2,20,1146,1,1,False,6430,1,False,"Bright, Cold, Shiny, Round, Silent.","Bright, Cold, Shiny, Round, Silent."
2,21,862,0,0,False,5991,0,False,"Wow! Wow! Wow!","Wow! Wow! Wow!"
2,22,1107,1,1,False,6306,1,False,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
2,23,911,0,0,False,6059,0,False,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
2,24,1261,1,1,False,6543,1,False,"5 10 15","5 10 15"
3,1,1186,1,1,False,6339,1,False,"Python Java C++","Python Java C++"
3,2,1236,1,1,False,6359,1,False,"blue, green, red, yellow","blue, green, red, yellow"
3,3,1008,0,0,False,6258,0,False,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
3,4,883,1,1,False,5835,1,False,"BANANA","BANANA"
3,5,1241,1,1,False,6520,1,False,"Cheetah Cobra Crab","Cheetah Cobra Crab"
3,6,1023,1,1,False,6086,1,False,"42","42"
3,7,1529,1,1,False,7005,1,False,"Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of","Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of"
3,8,1318,1,1,False,6674,1,False,"2,4,6,8,10","2,4,6,8,10"
3,9,896,0,0,False,5934,0,False,"Golden Flame.","Golden Flame."
3,10,979,1,1,False,6000,1,False,"yes!","yes!"
3,11,1019,1,1,False,6323,1,False,"Apple Banana Cherry","Apple Banana Cherry"
3,12,1162,0,0,False,6426,0,False,"Brew a cup of coffee and savor its rich aroma.","Brew a cup of coffee and savor its rich aroma."
3,13,847,1,1,False,5876,1,False,"Cold Wind Snow","Cold Wind Snow"
3,14,1295,1,1,False,6533,1,True,"France; Germany; Italy; Spain;","Spain; France; Germany; Italy;"
3,15,1294,1,1,False,6321,1,False,"100 points","100 points"
3,16,2035,1,1,False,7124,1,False,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have"
3,17,1189,1,1,False,6393,1,False,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
3,18,820,1,1,False,5823,1,False,"down","down"
3,19,1026,1,1,False,6039,1,False,"Python and Java","Python and Java"
3,20,1163,1,1,False,6449,1,False,"Bright, Cold, Shiny, Round, Silent.","Bright, Cold, Shiny, Round, Silent."
3,21,866,0,0,False,5993,0,False,"Wow! Wow! Wow!","Wow! Wow! Wow!"
3,22,1119,1,1,False,6260,1,False,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
3,23,905,0,0,False,6082,0,False,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
3,24,1261,1,1,False,6414,1,False,"5 10 15","5 10 15"
