rep,task_id,draft_ms,review_ms,medium_correct,high_correct,changed,draft,final
3,15,839,3007,1,1,False,"100 points","100 points"
3,16,1322,4058,1,1,False,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have inspired cultures a","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have inspired cultures a"
3,17,772,2995,1,1,False,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
3,18,529,2644,1,1,False,"down","down"
3,19,662,2809,1,1,False,"Python and Java","Python and Java"
3,20,764,3059,1,1,False,"Bright, Cold, Shiny, Round, Silent.","Bright, Cold, Shiny, Round, Silent."
3,21,571,2766,0,0,False,"Wow! Wow! Wow!","Wow! Wow! Wow!"
3,22,724,2978,1,1,False,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
3,23,614,2855,0,0,False,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
3,24,857,3078,1,1,False,"5 10 15","5 10 15"
